REM Neural Network Connections List
From	To	  Weight   	               
 I  	AH	  -2.9759  	               
 J  	AH	 -0.90067  	               
 K  	AH	  0.1098   	               
 L  	AH	 -0.11337  	               
 M  	AH	 -16.3613  	               
 N  	AH	  0.24818  	               
 O  	AH	 -0.004169 	               
 P  	AH	  0.48071  	               
 Q  	AH	 -165.4631 	               
 R  	AH	  0.60995  	               
 S  	AH	 -0.12471  	               
 T  	AH	 -0.81592  	               
 U  	AH	  0.70264  	               
 V  	AH	  -0.2295  	               
 W  	AH	  0.57042  	               
 X  	AH	  0.60362  	               
 Y  	AH	  5.8893   	               
 Z  	AH	 0.060555  	               
 A  	AI	 -13.2118  	               
 B  	AI	  0.46412  	               
 C  	AI	  0.55145  	               
 D  	AI	 0.028433  	               
 E  	AI	  3.8331   	               
 F  	AI	  -2.6818  	               
 G  	AI	  -1.7981  	               
 H  	AI	 -0.78937  	               
 I  	AI	  0.74704  	               
 J  	AI	 -0.90191  	               
 K  	AI	 -0.75962  	               
 L  	AI	 -0.074299 	               
 M  	AI	 292.1492  	               
 N  	AI	  -1.7497  	               
 O  	AI	 -0.80473  	               
 P  	AI	 -0.80322  	               
 Q  	AI	  -4.5996  	               
 R  	AI	  -0.9327  	               
 S  	AI	  1.1663   	               
 T  	AI	 0.033578  	               
 U  	AI	 -0.71981  	               
 V  	AI	  -1.5324  	               
 W  	AI	  -1.7234  	               
 X  	AI	  -1.1971  	               
 Y  	AI	  1.2133   	               
 Z  	AI	  -8.3441  	               
 A  	AJ	 -309.3348 	               
 B  	AJ	 -0.61656  	               
 C  	AJ	  3.6631   	               
 D  	AJ	 -0.96405  	               
 E  	AJ	 0.043623  	               
 F  	AJ	  -6.3181  	               
 G  	AJ	  -1.5113  	               
 H  	AJ	  -2.3863  	               
 I  	AJ	  1.6235   	               
 J  	AJ	  -4.3187  	               
 K  	AJ	  -1.0256  	               
 L  	AJ	 -0.61271  	               
 M  	AJ	  -3.3979  	               
 N  	AJ	  0.34325  	               
 O  	AJ	 -0.44798  	               
 P  	AJ	  0.78249  	               
 Q  	AJ	 -814.2692 	               
 R  	AJ	 -0.74175  	               
 S  	AJ	 -0.89945  	               
 T  	AJ	 -0.97387  	               
 U  	AJ	 -0.052484 	               
 V  	AJ	  -8.7727  	               
 W  	AJ	  -2.4594  	               
 X  	AJ	  -3.0059  	               
 Y  	AJ	 -246.0168 	               
 Z  	AJ	  0.24395  	               
 AA 	AL	  0.15578  	               
 AB 	AL	  1.1634   	               
 AC 	AL	  3.6551   	               
 AD 	AL	   4.694   	               
 AE 	AL	  -0.3179  	               
 AF 	AL	 -0.92076  	               
 AG 	AL	 -10.7463  	               
 AH 	AL	  9.0906   	               
 AI 	AL	  0.83179  	               
 AJ 	AL	   2.12    	               
 AK 	AL	  2.5842   	               
 AA 	AM	 -0.84649  	               
 AB 	AM	  -2.0569  	               
 AC 	AM	  3.0369   	               
 AD 	AM	 -711.6187 	               
 AE 	AM	  -2.6337  	               
 AF 	AM	  5.1836   	               
 AG 	AM	  6.9073   	               
 AH 	AM	  -28.413  	               
 AI 	AM	 -0.55377  	               
 AJ 	AM	 -0.071261 	               
 AK 	AM	  -2.2508  	               
 AA 	AN	  0.47903  	               
 AB 	AN	  0.74597  	               
 AC 	AN	  -2.5548  	               
 AD 	AN	 827.9952  	               
 AE 	AN	  0.3701   	               
 AF 	AN	  0.6762   	               
 AG 	AN	  0.29838  	               
 AH 	AN	  32.9148  	               
 AI 	AN	  0.86526  	               
 AJ 	AN	   6.843   	               
 AK 	AN	   0.293   	               
 AA 	AO	  -5.7008  	               
 AB 	AO	  6.0552   	               
 AC 	AO	  -4.1401  	               
 AD 	AO	 1525.1457 	               
 AE 	AO	  -5.9097  	               
 AF 	AO	  -3.0206  	               
 AG 	AO	 -0.21176  	               
 AH 	AO	  5.3481   	               
 AI 	AO	 -75.0543  	               
 AJ 	AO	   3.681   	               
 AK 	AO	  0.74103  	               
 AA 	AP	  0.9091   	               
 AB 	AP	  -1.0724  	               
 AC 	AP	  4.2259   	               
 AD 	AP	 -178.5993 	               
 AE 	AP	  0.65978  	               
 AF 	AP	  0.76003  	               
 AG 	AP	  3.5067   	               
 AH 	AP	  -3.0684  	               
 AI 	AP	 -0.77152  	               
 AJ 	AP	  0.36237  	               
 AK 	AP	  0.60333  	               
 AA 	AQ	  0.27529  	               
 AB 	AQ	  -1.0254  	               
 AC 	AQ	  1.9843   	               
 AD 	AQ	 -200.0502 	               
 AE 	AQ	  -2.0028  	               
 AF 	AQ	  0.90059  	               
 AG 	AQ	  5.0078   	               
 AH 	AQ	 -15.5309  	               
 AI 	AQ	  321.262  	               
 AJ 	AQ	  0.16573  	               
 AK 	AQ	  -1.495   	               
 AA 	AR	  8.6811   	               
 AB 	AR	  5.9117   	               
 AC 	AR	  -3.6251  	               
 AD 	AR	 839.0336  	               
 AE 	AR	  1.3945   	               
 AF 	AR	  -3.9712  	               
 AG 	AR	  -3.5118  	               
 AH 	AR	  -0.9826  	               
 AI 	AR	  -4.5051  	               
 AJ 	AR	 -25.7287  	               
 AK 	AR	 -0.18106  	               
 AL 	AT	  -3.6474  	               
 AM 	AT	  3.5063   	               
 AN 	AT	  -2.0458  	               
 AO 	AT	  -2.3187  	               
 AP 	AT	  0.1175   	               
 AQ 	AT	  3.9554   	               
 AR 	AT	  -1.3346  	               
 AS 	AT	  -2.0341  	               
