Epoch #	State	EMG Power 	EEG Power 	  Delta   	  Theta  	 Spindle 	  Sigma  	 Gamma  	  0-1Hz  	  1-2Hz  	  2-3Hz  	  3-4Hz  	  4-5Hz  	  5-6Hz  	  6-7Hz  	  7-8Hz  	  8-9Hz  	 9-10Hz  	10-11Hz 	11-12Hz 	12-13Hz 	13-14Hz 	14-15Hz 	15-16Hz 	16-17Hz 	17-18Hz 	18-19Hz 	19-20Hz 	20-21Hz 	21-22Hz 	22-23Hz 	23-24Hz 	24-25Hz	25-26Hz	26-27Hz	27-28Hz	28-29Hz	29-30Hz	30-31Hz	31-32Hz	32-33Hz	33-34Hz	34-35Hz	35-36Hz	36-37Hz	37-38Hz	38-39Hz	39-40Hz	40-41Hz	41-42Hz	42-43Hz	43-44Hz	44-45Hz	45-46Hz	46-47Hz	47-48Hz	48-49Hz	49-50Hz	50-51Hz	51-52Hz	52-53Hz	53-54Hz 	54-55Hz 	55-56Hz 	56-57Hz 	57-58Hz 	 58-59Hz 	 59-60Hz 	 60-61Hz 	 61-62Hz 	62-63Hz 	63-64Hz 	64-65Hz 	65-66Hz 	66-67Hz 	67-68Hz 	68-69Hz 	69-70Hz 	70-71Hz 	71-72Hz 	72-73Hz 	73-74Hz 	74-75Hz 	75-76Hz	76-77Hz	77-78Hz	78-79Hz	79-80Hz	80-81Hz	81-82Hz 	82-83Hz	83-84Hz	84-85Hz	85-86Hz	86-87Hz	87-88Hz	88-89Hz 	89-90Hz 	90-91Hz 	91-92Hz 	92-93Hz 	93-94Hz 	94-95Hz 	95-96Hz 	96-97Hz 	97-98Hz 	98-99Hz 	99-100Hz	
  11   	  1  	3519.5624 	4392.8914 	 1314.283 	1643.1075	1273.249 	447.6023 	143.6572	165.8392 	331.6434 	312.6745 	 216.723 	 183.241 	409.6141 	430.9128 	476.7883 	427.7981 	 253.102 	88.7132 	65.7523 	138.2619	129.445 	93.9815 	47.4688 	63.9049 	82.4026 	41.5981 	 28.813 	21.0901 	36.3087 	 27.967 	24.9363 	14.533 	30.292 	25.5516	13.2005	17.8081	12.1313	10.7124	 7.617 	13.5096	14.6798	 7.11  	10.6859	8.7646 	6.5564 	7.3316 	10.8345	3.6357 	6.7345 	6.4969 	5.2219 	4.0026 	 4.225 	7.5217 	 3.891 	2.6106 	1.2072 	1.0762 	1.1358 	1.3803 	0.43985 	0.55999 	0.20887 	0.21473 	0.10433 	0.047757 	0.024137 	0.029388 	0.025358 	0.046453	0.07607 	0.15726 	0.14984 	0.16875 	0.35511 	 0.4927 	 0.4384 	 0.3899 	0.65432 	0.61246 	0.69505 	0.67274 	0.7688 	0.65981	0.49395	0.57968	0.63934	0.50444	0.83103 	0.75055	0.35954	0.37184	0.95829	0.92589	0.69815	 0.538  	0.40931 	0.50606 	0.55021 	0.32539 	 1.1203 	0.44511 	 1.0031 	0.73328 	0.70846 	0.82512 	0.47818 	
  12   	  1  	3526.4828 	5592.2306 	2088.2909 	1707.3402	1275.5017	472.6236 	155.4562	346.3909 	485.2454 	282.8387 	 219.579 	554.1338 	639.9789 	723.6036 	 446.698 	326.7311 	173.3108 	 70.487 	180.7667	108.5664	208.1541	60.3695 	117.1495	56.8014 	63.0876 	 53.395 	32.3545 	42.7888 	 36.763 	33.8763 	19.8722 	23.9865	21.5047	17.4677	28.5049	17.1559	12.0707	22.8636	16.5598	11.9572	8.1304 	14.082 	15.5573	6.9709 	4.8024 	 4.614 	5.9696 	5.7899 	5.0348 	5.8975 	5.1835 	3.2936 	4.3688 	3.2522 	5.2621 	3.2635 	1.5733 	1.4944 	1.6205 	0.41922	0.69375 	0.39603 	0.36123 	0.14182 	0.10027 	0.055555 	0.035558 	0.040298 	0.046367 	0.08811 	0.098163	0.15848 	0.15924 	0.36618 	0.25504 	0.31356 	0.49839 	0.51954 	0.33922 	0.42638 	0.42535 	0.35848 	0.5756 	0.40602	0.33929	0.72269	0.53329	0.50861	0.76934 	0.51376	0.83231	1.0229 	0.82007	0.74897	0.58301	0.68952 	0.50624 	0.66795 	0.56512 	0.41773 	0.62622 	0.38634 	0.58129 	0.42989 	0.49138 	0.73223 	0.74234 	
  13   	  1  	5372.3279 	4254.8129 	 1740.954 	1085.8928	1263.0949	489.5758 	174.2679	218.4591 	485.6067 	 228.274 	321.1624 	421.2184 	247.0229 	 140.81  	256.4659 	197.0309 	344.4636 	248.6166	158.8478	109.2945	71.4243 	58.6095 	57.9255 	34.2165 	49.1799 	 42.733 	41.9709 	47.1437 	34.3624 	36.5524 	35.9324 	25.8871	32.6655	38.7782	25.8673	15.5182	16.2581	21.5888	11.1897	15.6178	13.9694	7.1602 	8.3428 	12.5813	10.0101	7.3505 	6.7626 	 7.466 	7.6422 	8.7215 	5.9734 	5.4234 	5.3073 	4.6976 	7.1454 	3.5307 	2.3425 	2.5823 	1.5507 	1.2111 	0.72105 	0.45617 	 0.2808 	0.19634 	0.091692	0.045779 	0.025379 	0.040813 	0.024329 	0.060261	0.085717	0.18722 	0.21097 	0.30083 	0.29467 	0.24767 	0.61904 	0.60106 	  0.56  	0.69682 	0.63999 	0.70395 	0.72247	0.72989	0.69244	0.64381	0.63369	0.83381	0.66133 	0.62265	0.41219	0.46666	0.69451	0.92516	0.89293	0.95312 	0.65211 	 0.5802 	0.69419 	0.52267 	0.61007 	0.49722 	0.58906 	0.26136 	0.86667 	0.53041 	0.38602 	
  14   	  1  	6162.5941 	3882.4208 	1732.7684 	1007.8492	1080.1894	431.0048 	155.5197	222.3758 	590.2268 	 407.919 	302.3265 	190.1893 	110.4341 	191.3741 	197.8705 	160.1128 	329.4564 	183.8289	152.9299	67.2685 	41.8922 	49.0096 	71.2955 	41.0704 	40.0972 	25.2985 	33.6329 	45.6252 	39.0592 	39.5764 	31.5955 	32.0671	23.7049	22.8855	18.3923	15.8905	12.194 	17.6408	12.9206	13.4793	11.8358	10.897 	7.1716 	11.1388	8.0406 	 9.642 	8.8429 	7.1958 	4.0307 	5.0711 	 4.135 	3.4175 	3.8586 	4.6014 	3.3179 	2.5753 	3.4441 	3.7823 	 1.393 	0.72822	 1.202  	0.48914 	0.30772 	0.15425 	0.12957 	0.044105 	0.020363 	 0.03649 	0.028404 	0.062264	0.088401	0.11095 	0.15555 	0.22497 	0.31902 	0.28592 	0.31939 	0.64212 	0.47382 	 0.4845 	 1.5017 	 1.0336 	1.1961 	 1.146 	0.66701	0.65071	0.70425	0.41926	0.59297 	0.60632	 0.431 	0.63604	0.83525	0.76298	0.55194	 0.5149 	0.49929 	0.53709 	0.52358 	0.83949 	0.69987 	0.51304 	0.45684 	0.33032 	0.39911 	0.53354 	0.75312 	
  15   	  1  	5139.3027 	4886.4884 	2023.9374 	1521.6484	1641.7397	531.5227 	150.5771	245.0523 	599.1966 	576.1316 	256.4592 	268.7046 	243.3866 	166.5121 	241.5928 	595.6514 	406.1555 	202.1175	101.8808	102.6142	53.5682 	55.7181 	50.0445 	112.1281	62.1439 	35.6323 	44.1637 	39.1115 	48.9669 	23.6972 	 20.622 	21.2737	27.0137	24.7551	26.5673	25.3353	15.7345	10.4131	19.1664	11.8205	15.6899	8.0836 	 13.31 	9.3861 	8.7279 	 6.876 	7.8667 	3.5743 	5.8024 	4.3503 	6.8414 	3.8704 	 4.598 	2.4157 	2.9151 	2.5867 	1.4209 	1.9228 	1.6629 	0.9332 	 0.6618 	 0.3461 	0.24543 	0.15185 	0.10246 	0.044617 	0.026141 	0.045908 	0.048093 	0.10972 	0.18055 	0.16872 	0.15871 	0.36804 	0.32892 	0.38778 	0.47527 	0.44437 	0.46754 	0.76124 	0.67737 	0.77992 	1.3679 	0.77338	0.39343	1.1177 	1.0476 	0.71365	 0.6515 	0.72742	0.52209	0.48241	 1.099 	1.0017 	0.73172	 1.1219 	0.94352 	0.55868 	0.79378 	0.61118 	0.48744 	0.53069 	0.78773 	 1.1424 	 0.3876 	 0.6675 	0.75245 	
  16   	  1  	5167.2614 	3858.7241 	1463.5274 	1167.1677	1071.4563	448.2266 	178.157 	156.4243 	276.4716 	 376.33  	355.1404 	215.1216 	219.1553 	273.5094 	275.9472 	214.1637 	280.4678 	185.8861	113.3187	77.0882 	57.0142 	74.2563 	56.3194 	22.7359 	48.7346 	 46.949 	38.2039 	40.0741 	52.6061 	 45.091 	34.9851 	25.9263	16.311 	18.7018	9.7586 	12.6245	23.7425	20.4442	17.1365	15.6114	17.3403	9.4462 	8.9486 	14.6859	 10.02 	12.635 	 5.638 	7.7858 	8.0138 	5.7605 	3.9335 	3.5742 	4.3594 	4.1016 	2.8051 	2.5381 	2.1075 	2.6146 	1.3957 	1.6073 	0.81439 	 0.3065 	0.52601 	0.39858 	0.07698 	0.056023 	0.026527 	0.026837 	0.042696 	0.095822	0.13378 	 0.1705 	0.12474 	0.17534 	 0.2774 	0.19948 	0.47847 	0.26017 	0.32723 	0.65321 	0.81517 	0.85943 	0.75524	0.48093	0.5372 	0.75691	0.87161	0.6424 	0.51916 	0.38116	0.69003	0.51087	1.0455 	0.83489	0.56114	0.43403 	0.98495 	0.52689 	0.82263 	 0.7484 	0.81198 	0.84636 	0.49061 	0.35081 	0.51631 	0.66212 	 0.6076 	
  17   	  1  	3334.0923 	5023.1663 	1779.8581 	1769.1949	1554.827 	502.1856 	143.1868	136.8738 	416.5314 	217.6215 	457.5227 	349.1623 	384.6798 	311.9392 	547.3119 	413.6214 	421.0288 	167.0826	115.4898	112.3048	120.571 	101.9385	75.5406 	47.4229 	86.8321 	49.7749 	33.8449 	54.7631 	35.2103 	 18.432 	39.9999 	27.9277	16.8083	13.4019	24.4024	25.7926	22.9274	10.6333	10.2321	6.9418 	12.4212	8.7521 	12.9836	7.5716 	10.1003	8.0599 	7.8903 	8.5217 	5.8461 	6.1746 	6.1375 	3.6176 	3.3866 	5.5974 	3.4461 	2.9279 	1.5688 	0.89923	1.1219 	1.0348 	0.84658 	0.30504 	0.25522 	0.28052 	0.11711 	0.085344 	0.031466 	0.026351 	0.031341 	0.041949	0.098863	0.12408 	0.18572 	0.25794 	0.41441 	0.26252 	0.46027 	0.53968 	0.62089 	0.50985 	0.44422 	0.57838 	0.7688 	0.49819	0.7637 	0.92025	0.55084	0.67071	0.69139 	0.80714	0.58863	0.59631	0.34402	0.56016	0.30288	 0.5543 	0.46687 	0.31305 	0.60146 	0.68183 	 1.0395 	0.77086 	0.71654 	0.40339 	0.33206 	 0.3895 	0.53521 	
  18   	  1  	3058.2445 	4686.2279 	1664.3913 	1659.1817	948.1637 	424.9717 	153.0908	 371.758 	392.0047 	307.0496 	314.1869 	206.6389 	334.4706 	325.5909 	911.3424 	223.7267 	154.1433 	130.8157	150.6431	53.6721 	98.9233 	58.3993 	50.5399 	 50.941 	51.8733 	37.5811 	37.6942 	40.1452 	29.5301 	23.1566 	14.7713 	24.9554	29.6419	23.5052	24.2738	16.836 	13.0879	13.5335	22.4515	10.2368	12.7049	11.6055	 10.51 	7.0206 	4.8925 	12.5487	6.0549 	6.2555 	5.5628 	6.7233 	5.9585 	4.3775 	3.2338 	 2.126 	2.6822 	2.2479 	1.4743 	2.0304 	0.78755	0.63475	0.69614 	 0.297  	0.26111 	0.15642 	0.06112 	0.051929 	0.021085 	0.022557 	0.035859 	0.041643	0.062595	0.10224 	0.18657 	0.25864 	0.22846 	0.30271 	0.39354 	0.45168 	0.44781 	0.76296 	0.41934 	0.34459 	0.4726 	0.47073	1.0086 	0.85498	0.48552	0.44601	0.91694 	0.60604	0.39517	0.43263	0.71613	0.48602	0.52298	0.62085 	0.71246 	0.47514 	0.33928 	0.51966 	0.83299 	0.37216 	0.59246 	0.40844 	0.42373 	0.48174 	0.41243 	
  19   	  1  	4469.4536 	4561.0453 	1556.4445 	1796.1046	1194.6797	415.6315 	133.655 	 307.343 	344.7415 	327.6053 	184.0285 	379.7615 	195.4595 	 572.995 	508.1379 	399.0593 	269.6444 	90.4293 	95.7968 	75.3474 	73.1141 	81.3669 	76.4709 	64.8088 	 45.448 	30.6151 	 38.863 	28.6134 	19.8392 	22.8349 	21.5479 	36.5451	21.7753	16.7566	16.3406	24.4494	18.801 	16.1283	11.4324	9.7196 	14.0434	14.0351	8.8823 	8.5072 	3.8068 	5.7946 	6.6383 	 5.786 	2.9999 	4.4158 	3.5444 	3.1027 	 2.618 	2.6559 	3.3611 	2.4493 	2.9638 	 1.347 	1.0122 	1.1571 	0.48986 	0.62405 	0.20563 	0.17631 	0.083336	0.044616 	0.057533 	0.045261 	0.035685 	0.054021	0.11862 	 0.1494 	 0.1685 	0.33755 	0.49947 	0.35357 	0.48476 	0.49961 	0.87104 	0.51334 	0.48374 	0.66945 	0.69305	0.32917	0.58373	0.69639	1.4682 	 1.437 	0.67442 	0.77265	0.83579	0.49754	0.65761	0.52178	0.42426	0.61376 	0.55467 	 1.0194 	0.70642 	0.64234 	0.73931 	0.78568 	0.57997 	0.60218 	0.77131 	0.46502 	 0.3625 	
  20   	  1  	3417.2077 	4590.0661 	1524.5873 	1618.6738	1510.4804	453.7526 	160.4287	307.7086 	244.9474 	395.0603 	253.8757 	208.0026 	392.8712 	382.1367 	281.2113 	466.6155 	383.5244 	197.2891	120.4521	52.6606 	111.9352	70.1802 	79.7897 	43.9702 	49.5422 	62.1564 	42.9083 	41.7451 	29.7084 	26.8999 	29.0901 	32.1737	24.9566	8.8865 	17.642 	20.3257	16.6385	12.9802	13.9268	17.9671	10.7663	10.1487	11.2206	8.0007 	5.3719 	6.2636 	10.3852	11.1633	9.1604 	3.8221 	3.9738 	9.1252 	5.5536 	3.3221 	4.0681 	1.5981 	1.1431 	0.7075 	0.67196	 1.451 	0.51666 	 0.4281 	0.28634 	0.12461 	0.097791	0.045508 	0.022134 	0.031669 	0.026547 	0.056047	0.065747	0.12013 	0.28595 	0.35575 	0.26773 	0.19501 	0.39199 	0.33595 	0.66717 	 1.1255 	0.66811 	0.33141 	0.62814	0.53974	0.90193	0.93156	0.79994	0.81663	0.63916 	0.75185	1.0449 	0.94188	0.63525	0.87192	0.6603 	0.62567 	0.26701 	0.45133 	0.43133 	 0.5624 	0.58645 	0.49733 	0.55351 	0.70059 	0.67171 	0.41904 	0.49684 	
